name,town,state,operator,usage_type,power_kw,connectors,lat,long
Pavangad KSEB EVCS - ChargeMOD,Pavangad,Kerala,ChargeMod (IN),Public - Membership Required,,"GB-T DC - GB/T 20234.3, Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",11.312411619159988,75.75859062889714
Sterling Ooty - Fern Hill,Ooty,Tamil Nadu,Tata Power,Public,,CCS (Type 2),11.39057,76.69866
Sasthapuri Hotels,Gudalur,Tamil Nadu,(Unknown Operator),Public - Pay At Location,,CCS (Type 2),11.49862,76.49398
ChargeMOD EVCS Hub,Nedumbassery ,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.16955160052332,76.37225560702467
"Club Mahindra Resort - Derby Green, Ooty",Ooty,Tamil Nadu,Zeon Charging,Public,,Type 2 (Tethered Connector) ,11.4023,76.69714
VEEV Brookfields,Coimbatore,Tamil Nadu,Zeon Charging,Public,,"Type 2 (Tethered Connector) , CCS (Type 2)",11.00939,76.95905
Luxon Motors - Tata Power,Kariyad,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.162042049613518,76.36735603462671
Dhruv EVCS - ChargeMOD,Kunnukara,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.154913045890254,76.28601444774222
SAJ Earth Resort - Tata Power,Nedumbassery,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.162224246244605,76.3846534973361
Jippus Galaxy EVCS - ChargeMOD,Nedumbassery ,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.161062057476386,76.38563077960612
Airsuite Airport Hotel,Nedumbassery ,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.159295127176051,76.378522878571
"Savoy, Ooty - IHCL SeleQtions",Ooty,Tamil Nadu,Tata Power,Public,,CCS (Type 2),11.41494,76.69288
Capgo EVCS - ChargeMOD,Nedumbassery ,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.1599144837582,76.38915826754294
Hotel Airlink Castle - GO EC,Athani,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.155053463306785,76.35471452974735
Taj Cochin Internation Airport Hotel - Tata Power,Nedumbassery ,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.159995038034907,76.39015421888632
Corporation Parking Lot,Coimbatore,Tamil Nadu,(Unknown Operator),Public - Pay At Location,,CCS (Type 2),11.01695,76.96566
Power Zone EV Charging Station - GO EC,North Paravur,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.149673029849538,76.21756419275295
CIAL Terminal 1,Nedumbassery ,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.156867560906605,76.38897989990119
Sundaram Motors Coimbatore,Coimbatore,Tamil Nadu,Chargezone (India),Public,,CCS (Type 2),10.91863,76.98461
CIAL Terminal 3,Nedumbassery ,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.156586379443638,76.39193156471646
North Paravoor KSEB EVCS - ChargeMOD,North Paravoor,Kerala,ChargeMod (IN),Public - Membership Required,,"GB-T DC - GB/T 20234.3, CCS (Type 2), CHAdeMO",10.145632978293406,76.25690380565499
"Welcomhotel By ITC Hotels, Race Course, Coimbatore",Coimbatore,Tamil Nadu,Statiq (IN),Public,,"Type 2 (Tethered Connector) , CCS (Type 2)",10.99713,76.97389
Taj Vivanta Coimbatore,Coimbatore,Tamil Nadu,Tata Power,Public,,"Type 2 (Tethered Connector) , CCS (Type 2)",11.0025,76.97363
Hotel Gem Park,Ooty,Tamil Nadu,Zeon Charging,Public,,"Type 2 (Tethered Connector) , CCS (Type 2)",11.42074,76.70407
CGH Wayanad Wild EV Charging Station - GO EC,Lakkidi,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.518344247894746,76.02125570474698
Athani Energize EVCS,Athani,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.141443983212852,76.35293383093199
Gateway Coonoor,Coonoo,Tamil Nadu,Tata Power,Public,,CCS (Type 2),11.34605,76.80108
Zone by The Park Hotel,Coimbatore,Tamil Nadu,Tata Power,Public,,CCS (Type 2),11.01157,76.98444
Club Mahindra Resort - Cherai Beach,Cherai,Kerala,Zeon Charging,"Private - For Staff, Visitors or Customers",,Type 2 (Tethered Connector) ,10.137093999810617,76.18028952544324
Innate Convention Centre ,Aluva,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.134847382197862,76.35454903990177
Ibis Coimbatore City Centre,Coimbatore,Tamil Nadu,Chargezone (India),Public,,CCS (Type 2),11.01223,76.98654
3 Star Auto Care,Coimbatore,Tamil Nadu,(Unknown Operator),Public - Pay At Location,,CCS (Type 2),11.01434,76.98979
Wellington Gymkhana Club,Wellington,Tamil Nadu,Zeon Charging,Public,,Type 2 (Tethered Connector) ,11.36142,76.79607
Vythiri KSEB EVCS - ChargeMOD,Vythiri,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2), GB-T DC - GB/T 20234.3",11.545753724925504,76.03937192662642
Zibe Coimbatore by GRT Hotels,Coimbatore,Tamil Nadu,Zeon Charging,Public,,Type 2 (Tethered Connector) ,11.02287,76.99726
PSV EV Point,Coimbatore,Tamil Nadu,(Unknown Operator),Public - Pay At Location,,CCS (Type 2),11.08231,76.98681
Hotel Oottupura (EVOK) - ChargeMOD,Perumbavoor ,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.130170867903814,76.47072020964066
Thiruvangoor EV Fast Charging Station - ChargeMOD,Kozhikode,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.382827235535927,75.73593649657082
Prestige EV Super Charging Station - GO EC,Perumbavoor,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.116599665826755,76.44569940523843
Gopika EV Charging Station - GO EC,Varappuzha,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.087291499865685,76.26789062743649
Konfudha Resort - ChargeMOD,Kalpetta,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) , CCS (Type 2)",11.591455451778742,76.0709097761802
IOCL Singanallur,Coimbatore,Tamil Nadu,Tata Power,Public,,CCS (Type 2),11.0028,77.03874
Cafe Manoila - GO EC,Kalpetta,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.597776607258112,76.08013836547212
Rajagiri Hospital EVCS - ChargeMOD,Aluva,Kerala,ChargeMod (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2)",10.088031831505504,76.3890422078266
Sulfex Mattress (EVOK) - ChargeMOD,Choornikkara,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.081559652703305,76.33986741548819
Tata.ev Gokulam Motors - Tata Power,Choornikkara,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.081302790405843,76.33946199404113
Nesto Hypermarket - Zeon,Kalpetta,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),11.603113725229335,76.08314903993465
Fairfield by Marriott Coimbatore,Coimbatore,Tamil Nadu,Chargezone (India),Public,,CCS (Type 2),11.03623,77.03736
EVM MG Motors Coastline Garage - ChargeMOD,Kochi,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.077284480624044,76.3376412345441
Haribhavanam KMCH,Coimbatore,Tamil Nadu,Relux Electric (India),Public - Membership Required,,CCS (Type 2),11.040221081024029,77.04083279280997
Haribhavanam KMCH,Coimbatore,Tamil Nadu,Relux Electric (India),Public - Pay At Location,,CCS (Type 2),11.04036238,77.04093889
Adyar Ananda Bhavan,Mettupalayam,Tamil Nadu,Statiq (IN),Public,,CCS (Type 2),11.32163,76.9161
Jio BP Pulse - Mettupalayam,Mettupalayam,Tamil Nadu,JIO BP Pulse (India),Public,,CCS (Type 2),11.27928,76.94778
Future Clock EVCS - GO EC,Perumbavoor ,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.08987328201421,76.49767034410803
Hotel Sri Mu Saravana Bhavan,Coimbatore,Tamil Nadu,(Unknown Operator),Public - Pay At Location,,CCS (Type 2),11.00142,77.06625
PPS MG Motors,Coimbatore,Tamil Nadu,Tata Power,Public,,CCS (Type 2),11.05013,77.05773
Kalamassery KSEB EVCS - ChargeMOD,Kalamassery,Kerala,ChargeMod (IN),Public - Membership Required,,"GB-T DC - GB/T 20234.3, Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",10.053770034128178,76.33086763254079
Rajagiri College EVCS - ChargeMOD,Kalamassery,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) , CCS (Type 2)",10.052459248046603,76.31465630080953
Solar Sparks EVCS - ChargeMOD,Koyilandi,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) , CCS (Type 2)",11.427675411349242,75.70299624247721
TML Marina Motors Pvt. Ltd. Kalpetta - Tata Power,Kalpetta,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.637352766290704,76.09468538005217
Issacs Centre Square - Zeon,Sulthan Batheri,Kerala,(Unknown Operator),Public - Membership Required,,CCS (Type 2),11.661242260762606,76.25568142399845
IOCl Balaji Petroleum - Tata Power,Sulthan Bathery,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.660943020691448,76.24002282400443
Hotel Saugandhika Charging Station - Tata Power,Meenangadi,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.6593282557467,76.20718522782687
Adhithya (EVOK) - ChargeMOD,Sulthan Bathery,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",11.66208634339526,76.26492171189932
Meenangadi EVCS - ChargeMOD,Meenangadi,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.654045695974418,76.15358523502817
TML Sree Gokulam Motors - Tata Power,Edappally,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.03915496555662,76.31555880759106
Steelane (EVOK) - ChargeMOD,Kalamassery,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.040433868452538,76.33852407332273
EVGO Hub - GO EC,Thrikkakkara,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.035673992083431,76.33644845243788
Annalakshmi Drive in,Kotagiri,Tamil Nadu,(Unknown Operator),Public,,CCS (Type 2),11.42336,76.86669
Great Trails Wayanad by GRT Hotels,Kalpetta,Kerala,Zeon Charging,"Private - For Staff, Visitors or Customers",,Type 2 (Tethered Connector) ,11.630455838998557,76.0181458403498
Daffodils EVCS - GO EC,Edapally,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) , CCS (Type 2)",10.032114506603733,76.32296046331254
Kochi Marriot Hotel,Kochi,Kerala,Chargezone (India),Public - Membership Required,,CCS (Type 2),10.029828147933713,76.30813431285094
 Lakshmi Retreat,Kotagiri,Tamil Nadu,Zeon Charging,Public,,Type 2 (Tethered Connector) ,11.42998,76.86711
Flash Charge - ChargeMOD,Edappally,Keral,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.027760860324861,76.31117443905742
Top Dines Hotel - GO EC,Muthanga,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.67080198813612,76.36101965515473
Lulu International Shopping Mall EVCS - GO EC,Edapally,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.025852998355106,76.30847987689594
Grand Mall,Edappalli,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),10.024160422636712,76.30871193061643
Matha DC EVCS - ChargeMOD,Kizhakkambalam,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.031936931279205,76.40749252320211
Wonderla - Statiq,Pallikkara,Kerala,Statiq (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2)",10.02602207094047,76.3919959661103
Oberon Mall EVCS - GO EC,Edapally,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.014373315870898,76.31253274186469
Park Residency EVCS - GO EC,Kakkanad,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.014658809069601,76.34240059520744
Tata.ev Luxon Motors - Tata Power,Edappally ,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.011484735873452,76.31138749922593
Gokul Oottupura Restaurant,Edappalli,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),10.011144817352246,76.31249740510384
KSEB Charging Station,Kochi,Kerala,ChargeMod (IN),Public - Membership Required,,"CCS (Type 2), GB-T DC - GB/T 20234.3",10.00539481230841,76.30472192063007
Renvolt (EVOK) - ChargeMOD,Kothamangalam,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.069470074742668,76.60263007017147
Kaloor KSEB EVCS - ChargeMOD,Kaloor,Kerala,ChargeMod (IN),Public - Membership Required,,"GB-T DC - GB/T 20234.3, Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",10.000241036861425,76.29842982467909
Max EVCS - GO EC,Palarivattom,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.998499333886073,76.31386095749048
We Connect EVCS - ChargeMOD,Kakkanad,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.001801810427551,76.36151799279622
Monsoon Empress Hotel EVCS,Palarivattom,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.995959579488527,76.31410217952185
Taj Wayanad Resort and Spa- Tata Power,Padinjarathara,Kerala,Tata Power,"Private - For Staff, Visitors or Customers",,"Type 2 (Tethered Connector) , CCS (Type 2)",11.6576333638655,75.96043177655011
Kothamangalam KSEB EVCS - ChargeMOD,Kothamangalam,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2), GB-T DC - GB/T 20234.3",10.053980539499676,76.61538420232228
Chillax EVCS (EVOK) - ChargeMOD,Thammanam,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.985005178404208,76.3160654318624
ANERT EESL - Ernakulam,Ernakulam,Kerala,EESL (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",9.97698850139885,76.2778105180987
Gandhinagar KSEB EVCS - ChargeMOD,Kochi,Kerala,ChargeMod (IN),Public - Membership Required,,"GB-T DC - GB/T 20234.3, Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",9.974192529648036,76.29368170309505
Banasura Sagar KSEB EVCS - ChargeMOD,Padinjarathara,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2), GB-T DC - GB/T 20234.3",11.672923978163226,75.95730580932587
Evee Buddy - Memaid EVCS - ChargeMOD,Vyttila,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.971684804361004,76.32415963358551
Brunton Boatyard,Cochin,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),9.968304525407731,76.24570948393551
EC City Centre EVCS - GO EC,Ernakulam,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.96519449241434,76.29662321090922
Vyttila KSEB EVCS - ChargeMOD,Vyttila,Keral,ChargeMod (IN),Public - Membership Required,,"GB-T DC - GB/T 20234.3, Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",9.962901962801453,76.31922070618452
Broad Bean Hotel (EVOK) - ChargeMOD,Vyttila,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.962667763402436,76.31821354245426
Casino Hotel,Kochi,Kerala,Zeon Charging,Public - Membership Required,,Type 2 (Tethered Connector) ,9.96143124399039,76.26949095249614
MPA Tyres EVCS - GO EC,Thrippunithura,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.962610267571378,76.35800116158748
BYD EVM Southcoast Service Centre - ChargeMOD,Maradu,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.94813498576815,76.31850175922932
Prithvi EVCS - GO EC,Kadavanthra,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.94745163258068,76.3034155566645
Tribute Royale EVCS - GO EC,Maradu,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.94775835957229,76.31854611156217
Central Talkies EVCS - GO EC,Thrippunithura,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.948953177742126,76.34771091840872
LiON EVCS - ChargeMOD,Maradu,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.94222521279606,76.33388510471883
EVM La Maison Citroen Kochi - ChargeMOD,Maradu,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.940155100929147,76.31841841422022
GATR PowerFin EVCS - ChargeMOD,Muvattupuzha,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.979468552526953,76.55067812604801
Le Meridien - ChargeZone,Ernakulam,Kerala,Chargezone (India),Public - Membership Required,,CCS (Type 2),9.933863177376935,76.3168740616045
MC Resort Bandipura,Melukamanahally,Karnataka,Statiq (IN),Public,,CCS (Type 2),11.69692,76.63576
Hotel Ganga Grand,Moovattupuzha,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),9.981770565891793,76.57830422508846
PlugMap EVCS by Evan and Eyan - ChargeMOD,Moovattupuzha,Kerala,ChargeMod (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2)",9.978862993946649,76.58443995153965
PPG Home EVCS - ChargeMOD,Thrippunithara,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) , CCS (Type 2)",9.932987601606115,76.38873573076705
Kabani International (EVOK) - ChargeMOD,Moovattupuzha,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.979118267964807,76.58664022612703
Raos EVCS - ChargeMOD,Thrippunithara,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.93254634166027,76.3882939775574
Mindful EVCS - ChargeMOD,Payyoli,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) , CCS (Type 2)",11.520444916879683,75.61798774380324
MB#Coastal Star - ChargeZone,Ernakulam,Kerala,Chargezone (India),Public - Membership Required,,CCS (Type 2),9.922990219918262,76.31768924611822
Empire Restaurant - ChargeMOD,Tharuvana,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.736405311635153,75.98674422775375
Vana Vihar Resort Bandipur,Mel Kamanahalli,Karnataka,Tata Power,Public,,CCS (Type 2),11.70634,76.64111
GreenVeel - ChargeZone,Muvattupuzha,Kerala,Chargezone (India),Public - Membership Required,,CCS (Type 2),9.973783778024469,76.6006940918598
EcoPlug EVCS - GO EC,Neriyamangalam,Kerala,GO EC (IN),Public - Membership Required,,CEE 3 Pin,10.05657909163412,76.77664747363906
EVOK Charger - ChargeMOD,Kuttiyady,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.648901043860448,75.75593648237526
Pineapple City EVCS - ChargeMOD,Thodupuzha,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.946157359688044,76.6356309994008
Hotel Wayanad Square - ChargeMOD,Mananthavady,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.796977641816383,76.00660113182988
ANERT EESL - Aahar Restaurant Vadakara,Vadakara,Kerala,EESL (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",11.586364891391128,75.59322033744107
Club Mahindra Aleppey Resort,Arookutty,Kerala,Zeon Charging,"Private - For Staff, Visitors or Customers",,Type 2 (Tethered Connector) ,9.859751104489362,76.33582416512633
Vijaya EVCS - GO EC,Kanjiramattom,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.851840438387285,76.3893878706051
Junior Kuppanna,Avinashi,Tamil Nadu,Zeon Charging,Public,,CCS (Type 2),11.17708,77.24713
Hotel Woodlands - ChargeMOD,Thodupuzha,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.91734069694752,76.68758141119349
"Sree Annapoorna Hotel, Avinashi",Avinashi,Tamil Nadu,Zeon Charging,Public,,CCS (Type 2),11.17513,77.26342
Royal EV Charging - ChargeMOD,Koothattukulam,Keraka,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) , CCS (Type 2)",9.856562504416218,76.59656979753362
Annapoorna - NH Avinashi,Avinashi,Tamil Nadu,Zeon Charging,Public,,CCS (Type 2),11.1778,77.28318
Cafe Udupi Ruchi,Avinashi,Tamil Nadu,Zeon Charging,Public,,CCS (Type 2),11.17719,77.28392
Thodupuzha KSEB EVCS - ChargeMOD,Thodupuzha,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2), GB-T DC - GB/T 20234.3",9.892123471651985,76.7085305288831
GreenVeel - ChargeZone,Idukki,Kerala,Chargezone (India),Public - Membership Required,,CCS (Type 2),9.892548280085137,76.71189442311942
Joance Regency,Thodupuzha,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),9.89428770289264,76.71587116008152
EQ ChargeMate - ChargeMOD,Thalayolaparambu,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.798850817452347,76.4598873830646
Dhanyalakshmi Fuels BPCL,Gundlupete,Karnataka ,(Unknown Operator),Public,,CCS (Type 2),11.84679,76.67291
EQ EV Nest - ChargeMOD,Karimkunnam,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.863113531376897,76.6970905245609
Eastend Hotel and Resorts - ChargeMOD,Munnar,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.087379401509637,77.06169962565411
Chaithanya Hospital EVCS - GO EC,Kuravilangad,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.761923840599692,76.56472253025936
Eden Wood Resorts,Munnar,Kerala,Zeon Charging,"Private - For Staff, Visitors or Customers",,Type 2 (Tethered Connector) ,10.025676321659006,77.05377106161887
Reboost EVCS - ChargeMOD,"Panoor, Kannur",Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.754866634887236,75.5780650614575
"Zeon Charging, Sathy",Sathyamangalam ,Tamil Nadu,Zeon Charging,Public,,CCS (Type 2),11.489923919919761,77.24369168562515
Manjoor Beeza Clubhouse EVCS - GO EC,Manjoor,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.727579425560023,76.52038777302698
Huts Restaurant EVCS - GO EC,Cherthala,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.683890802446342,76.3335821907994
Down Town Mall - Zeon,Thalasseri,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),11.745123385253223,75.49541917459942
GO Green EVCS - GO EC,Anthikkad,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.753999722373322,76.70127896431035
KVR Dream Vehicles Thalassery - Tata Power,Thalassery,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.761734248724949,75.50906837861191
Co-Operqative Bank - Zeon,Kathirur,Kerala,Zeon Charging,Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) , CCS (Type 2)",11.787885590422789,75.53302104514765
Kalladanthiyil EVCS - GO EC,Neendoor,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.68333687975506,76.50559380666749
Moolamattom KSEB EVCS - ChargeMOD,Moolamattom,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2), GB-T DC - GB/T 20234.3",9.789170222066858,76.85385688839403
Flour Mill (EVOK) - ChargeMOD,Pala,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.711918348051455,76.6932444958519
Nila's Magestic Arcade,Kidangoor,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.683248151452077,76.60975356992105
Jim and Jims EVCS - ChargeMOD,Pala,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.691623797834922,76.64031694680193
ANERT EESL - Pinarayi Park,Kannur,Kerala,EESL (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",11.795232100785313,75.49021889997948
ANERT EESL - Autokast ,Cherthala,Kerala,EESL (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",9.63370013043675,76.33372244690435
ANERT EESL - DTPC Idukki Park,Idukki,Kerala,EESL (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",9.849056508967635,76.97740370583625
Ettumanur Skylight EVCS - GO EC,Ettumanoor,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.668171829463475,76.57537881809179
Athirampuzha - ChargeZone,Kottayam,Kerala,Chargezone (India),Public - Membership Required,,CCS (Type 2),9.661688305606717,76.55113745755165
Alpha Hangout Play World,Ettumanoor,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.661163852215779,76.55132832762774
JSR EVCS - GO EC,Mambaram,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",11.825802052750774,75.50895671019163
Gandhi Nagar KSEB EVCS - ChargeMOD,Arpookara,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2), GB-T DC - GB/T 20234.3",9.632684209424426,76.52440170126067
CGH Marari Beach,Mararikulam,Kerala,Zeon Charging,Public - Membership Required,,Type 2 (Tethered Connector) ,9.596033618612921,76.30277023506221
Palm Peats (EVOK) - ChargeMOD,Erattupetta,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.690678968394721,76.7745897285775
Sihla Energy - ChargeMOD,Kumarakom,Kerala,ChargeMod (IN),"Private - For Staff, Visitors or Customers",,"Type 2 (Tethered Connector) , CCS (Type 2)",9.594581375188383,76.42606941926459
Indraprastha Hotel (EVOK) - ChargeMOD,Kottayam,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.601836959255365,76.5321590128982
Sky Penta EVCS - ChargeMOD,Iritty,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.98556152906157,75.67618166036556
KVR Dream Vehicle - Tata Power,Nadal,Kerala,Tata Power,Public - Membership Required,,"CCS (Type 2), CHAdeMO",11.83285672150295,75.42644169657501
The Grand Ambassador EVCS,Kottayam ,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.589399335956784,76.52633053455003
KVR Dream Vehicles Service Centre - Tata Power,Iritty,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.990685920762218,75.65802183107732
Jason Orchard Inn EVCS - GO EC,Alappuzha,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.56257506243169,76.32758403292866
Hotel VPS Grand - Palani,Palani,Tamil Nadu,Relux Electric (India),Public - Membership Required,,CCS (Type 2),10.44303096,77.51617095
Hotel Aida,Kottayam,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),9.582880475673022,76.52168622035634
Neo Charge EVCS - GO EC,Alappuzha,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.559497168686136,76.32821358891908
Calvarymount Jerry Plaza,Alliyar,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.80694248889715,77.04794025522557
